"clave","entidad_federativa","clave_delito","delito","2022","2021","2020","2019"
0,"Estados Unidos Mexicanos",60103,"Delitos contra el libre desarrollo de la personalidad - Pornografía infantil",320,293,348,362
0,"Estados Unidos Mexicanos",60104,"Delitos contra el libre desarrollo de la personalidad - Turismo sexual",1,0,3,0
0,"Estados Unidos Mexicanos",60105,"Delitos contra el libre desarrollo de la personalidad - Pederastia",2708,2749,2263,2297
0,"Estados Unidos Mexicanos",60106,"Delitos contra el libre desarrollo de la personalidad - Otros delitos contra el libre desarrollo de la personalidad",4984,3220,69,336
0,"Estados Unidos Mexicanos",60107,"Delitos contra el libre desarrollo de la personalidad - No identificado",6,28,47,NA
0,"Estados Unidos Mexicanos",60201,"Trata de personas - Trata de personas con fines de explotación sexual",507,433,309,182
0,"Estados Unidos Mexicanos",60202,"Trata de personas - Trata de personas con fines de trabajo o servicios forzados",43,32,22,27
0,"Estados Unidos Mexicanos",60203,"Trata de personas - Trata de personas con fines de tráfico de órganos",2,0,0,NA
0,"Estados Unidos Mexicanos",60204,"Trata de personas - Trata de personas con otros fines",123,117,72,131
0,"Estados Unidos Mexicanos",60205,"Trata de personas - No identificado",102,106,141,NA
0,"Estados Unidos Mexicanos",60300,"Violencia de género en todas sus modalidades distinta a la violencia familiar",3069,2030,1524,2996
0,"Estados Unidos Mexicanos",60400,"Discriminación",2569,1769,1339,1601
0,"Estados Unidos Mexicanos",60500,"Lenocinio",25,46,57,74
0,"Estados Unidos Mexicanos",60600,"Otros delitos contra la sociedad",5476,9517,5921,3202
0,"Estados Unidos Mexicanos",70101,"Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Posesión simple de narcóticos",86716,84731,72546,75385
0,"Estados Unidos Mexicanos",70102,"Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Posesión con fines de comercio o suministro de narcóticos",11084,10985,12856,10343
0,"Estados Unidos Mexicanos",70103,"Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Comercio de narcóticos",8651,8582,3278,1457
0,"Estados Unidos Mexicanos",70104,"Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Suministro de narcóticos",283,217,120,155
0,"Estados Unidos Mexicanos",70105,"Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Otros delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo",450,426,1427,5079
0,"Estados Unidos Mexicanos",70106,"Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - No identificado",1733,361,1610,NA
0,"Estados Unidos Mexicanos",70201,"Delitos federales contra la salud relacionados con narcóticos - Producción de narcóticos",86,113,2,0
0,"Estados Unidos Mexicanos",70202,"Delitos federales contra la salud relacionados con narcóticos - Transporte de narcóticos",1071,1563,0,0
0,"Estados Unidos Mexicanos",70203,"Delitos federales contra la salud relacionados con narcóticos - Tráfico de narcóticos",1122,1398,0,0
0,"Estados Unidos Mexicanos",70204,"Delitos federales contra la salud relacionados con narcóticos - Comercio de narcóticos",321,331,0,0
0,"Estados Unidos Mexicanos",70205,"Delitos federales contra la salud relacionados con narcóticos - Suministro de narcóticos",17,36,0,1
0,"Estados Unidos Mexicanos",70206,"Delitos federales contra la salud relacionados con narcóticos - Posesión de narcóticos",3044,3222,0,0
0,"Estados Unidos Mexicanos",70207,"Delitos federales contra la salud relacionados con narcóticos - Otros delitos federales contra la salud relacionados con narcóticos",311,401,51,20
0,"Estados Unidos Mexicanos",70208,"Delitos federales contra la salud relacionados con narcóticos - No identificado",0,0,0,NA
0,"Estados Unidos Mexicanos",70300,"Evasión de presos",101,117,104,134
0,"Estados Unidos Mexicanos",70400,"Delitos en materia de armas y objetos prohibidos",8447,5448,5605,5784
0,"Estados Unidos Mexicanos",70500,"Delitos de delincuencia organizada",296,261,5,4
0,"Estados Unidos Mexicanos",70601,"Delitos en materia de armas, explosivos y otros materiales destructivos - Portación ilícita de armas",15720,15580,3720,287
0,"Estados Unidos Mexicanos",70602,"Delitos en materia de armas, explosivos y otros materiales destructivos - Posesión ilícita de armas, cartuchos y cargadores",1805,1539,19,38
0,"Estados Unidos Mexicanos",70603,"Delitos en materia de armas, explosivos y otros materiales destructivos - Acopio ilícito de armas",90,65,1,5595
0,"Estados Unidos Mexicanos",70604,"Delitos en materia de armas, explosivos y otros materiales destructivos - Tráfico ilícito de armas, explosivos y otros materiales destructivos",52,61,0,1
0,"Estados Unidos Mexicanos",70605,"Delitos en materia de armas, explosivos y otros materiales destructivos - Otros delitos en materia de armas, explosivos y otros materiales destructivos",431,358,6,5
0,"Estados Unidos Mexicanos",70606,"Delitos en materia de armas, explosivos y otros materiales destructivos - No identificado",0,0,15,NA
0,"Estados Unidos Mexicanos",70700,"Asociación delictuosa",193,158,145,123
0,"Estados Unidos Mexicanos",70800,"Terrorismo",29,19,25,6
0,"Estados Unidos Mexicanos",70900,"Otros delitos contra la seguridad pública y la seguridad del Estado",4084,3189,2343,1489
0,"Estados Unidos Mexicanos",80101,"Delitos por hechos de corrupción - Ejercicio indebido del servicio público",2033,1848,1288,1166
0,"Estados Unidos Mexicanos",80102,"Delitos por hechos de corrupción - Abuso de autoridad",13408,14909,14856,15543
0,"Estados Unidos Mexicanos",80103,"Delitos por hechos de corrupción - Cohecho",2169,2833,2638,3158
0,"Estados Unidos Mexicanos",80104,"Delitos por hechos de corrupción - Peculado",989,1058,381,523
0,"Estados Unidos Mexicanos",80105,"Delitos por hechos de corrupción - Enriquecimiento ilícito",280,778,58,653
0,"Estados Unidos Mexicanos",80106,"Delitos por hechos de corrupción - Ejercicio abusivo de funciones",133,174,206,98
0,"Estados Unidos Mexicanos",80107,"Delitos por hechos de corrupción - Tráfico de influencias",116,95,121,110
0,"Estados Unidos Mexicanos",80108,"Delitos por hechos de corrupción - Otros delitos por hechos de corrupción",2843,3164,2244,1479
0,"Estados Unidos Mexicanos",80109,"Delitos por hechos de corrupción - No identificado",80,15,11,NA
0,"Estados Unidos Mexicanos",80201,"Delitos contra la administración de justicia - En materia de amparo",1155,988,0,0
0,"Estados Unidos Mexicanos",80202,"Delitos contra la administración de justicia - Otros delitos contra la administración de justicia",2698,3815,1057,867
0,"Estados Unidos Mexicanos",80203,"Delitos contra la administración de justicia - No identificado",1828,74,1195,NA
